,tweet
10715954,\u201c@Jimmer2121: @nicolettee_xo study lol\u201d \ud83d\ude02\ud83d\ude02
11450283,"@DarylRitchison I know you can't announce, but Crookston schools is 2 hours late"
8222158,I'm impressed with how hard Bennett played tonight.
5677897,@NewLeafLucas there is a file 2 and 3 you can use right ?
11340138,I feel so weird when people call me mackenzie
11944584,@KayFlynn06 you dramatic little betch. I'm obsessed with you.
10522655,Working all winter\nShining all summer #classic
1146608,@jbeadle50 I kind of live in tn though haha
3275473,and then i cba to put any on
890514,Leaving at 6 30 am to go play some puck fuck yeah
6837331,Decent day
368080,@Beccabby1 out with the old in with the new
618641,Time for knitting &amp; Downton Abbey.
1054361,Great two days off. Back to workin 11 hour shifts again tomorrow
6804775,"\""My strange obsession\"" this show though... Stop it \ud83d\ude02 \""we have our 10 dead pet bunnies, blue bunny ice cream and wedding cake in our freezer\"""
9831728,Lobster Ravioli it is
1788622,How my boyfriends mom stocks up their kitchen with my favorite food &gt;&gt; #loveher \ud83d\udc4d
3235515,"\""@Bina_Baby13: Small town Friday night, Revving up at a red light, On your mark, get set, go. #JasonAldean \ud83c\udfb6\"""
945093,"\""@Tyrese: I feel like God has so much in store for my life and my surroundings... &gt;i feel the same&lt;"
188797,Honestly it's pretty awesome that this shop always smells like incense. I love the guys that work here. :)
3597322,Well damnit guys I got ready for the first time in like 2 weeks
8728889,I always find the cutest Steve Madden footwear &amp; purses for super cheap! \ud83d\ude0d
6649504,"Sometimes #Subway annoys me, they know 6:00pm to 7:00pm are busy dinner crowds but they only have one person making the sandwiches #annoyed"
2624758,So excited to be working at the stadium tonight!
2767905,Me and @JustaLilTooTall are having a good day for just chillin in the car at Wilmington! Ha
9512172,"That awkward moment when you drive four hours to see your grandma and the first thing she asks \""Where's Whitney?\"" @Whitrae7"
344885,Sal Pal to Kelly: you see the pictures of great #Eagles from years gone by around you. What are you going to do to maintain that tradition?
1227006,A woman is like a tea bag: you cannot tell how strong she is until you put her in hot water. -Nancy Reagan
4163532,Your loss
6707713,The fact that kens just did a little dance cause she got a call from menards about an interview &gt;&gt;&gt; \ud83d\ude02
5294688,My potential grad school is destroying Berkeley! Yay!
7316082,Oh welllll :b
122881,Nice. Make sure you wave each time \ud83d\udc4b\ud83d\udc4b lol \u201c@missjkeys: @manny954mia driving past your city everyday this week!!\u201d
10108500,@tvGGraves I literally live there right now. And I have for two years! Twins. \ud83d\udc6f
2385285,I am never allowing a Wisconsin person to say that we illinois people  suck at driving ever again. Y'all suck just as bad!
2217308,@TheWeightSaint email me the info if you can roycem01@gmail I can schedule a few others to join me possibly on a Saturday. :-)
7951022,Why am I so excited to have nachos for dinner yummmmm
9679786,Tomorrow is my last day in Jersey \ud83d\udc4c\ud83d\ude0b
8772014,Last two a days as a BEAVER \ud83d\ude2a\ud83d\ude2a
3909198,Most problems are avoidable if you aren't stupid.
3194983,I seriously have cried so much tonight.
1036492,@majenkinsxo \ud83d\ude33..uhh I don't care how amazing Luke Bryan is that won't happen lbs\ud83d\ude01
9904462,"@karacze too bad I have no beer, an 8am tomorrow, and a shit ton of reading to do. #karenproblems"
1241360,There is a line from a nerd to a geek and i am right on that line....
9408952,Hey #bucnation...anybody know what time HOF game is on? I'm jonesing for football.
10553648,"@BrandonVTa I've read studies that say the opposite. Like, if I have 100 moles, I'm 100x more likely to get melanoma."
4530119,I'm saving my butthole for marriage
4727724,"Anyone up for going to Ohio for We Came As Romans, Silverstein, Chunk, AND The Color Morale??!?!?!? That sounds like an intense night!!!"
12098425,@swimmerchickk hahah except I really hope I never have to swim breast again.
12310458,Is this what it feels like to be in the nightmare before Christmas? #christmashauntedhouse
9892611,10u maroon mustangs are in the championship of the silver bracket in the Monster Bash #WichitaMustangs
6290908,Just think next year @AndrewJamesSull will be organizing the half time show for the Super Bowl and his clients will fill up all the
7719821,if you are legitimately excited about Kim K's baby you should immediately go light yourself on fire.
469203,I haven't even been back and hour and I am already having issues. \ud83d\ude14
2595743,@danburyweather also some forecasts had 32 Monday night! What's your thoughts.
906395,Anyone will do tonight
2631458,I have had so many projects this week
4715722,Duck dynasty is on&lt;3
8737554,kanye and Kim are perfect for each other because they both have 0 talent
6592683,Failure is not an option #OnTopOfMyGame
5663785,It became easier forgetting people who forgot about you
10764416,Literally every time someone goes to kiss in a movie something happens
2310065,It's going to be weird not Getting a yr book #transferprobs
9112147,And I mass different nick names .. To damn many .
245955,"Sometimes your plans don't work, because fate has better ones. c:"
10837068,Russia doesn't deserve much credit when it acting civilised is an exception (structured through pardons) rather than a norm.
6809105,Cavemen probably did it too even
9736450,Maybe the change of scenery is what Reynolds needed. Sounded like he was getting bitter about not playing. New York has to play him.
6746519,"when it comes to homework, I never do it all. I decide what assignments I HAVE to do to pass the class &amp; ignore the rest. #homeworksolutions"
6407176,Lol tonight the roles were reversed
2763114,Apparently it's time to buy more books...
11378484,Oh em geeeee! That little puppy on the price is right
3868260,feeljn very very very sad.
8656590,It would be nice to be someone's one &amp; only. Instead of one of many. Psssshhh. Who am I kidding? Abah
6452365,Can I just date a hot football player..
9278057,"One of the beast aspects of riding my motorcycle, setting of car alarms. #motorcycle #summerriding"
4053426,@CJhitchin23 ya know what Colton? I wish they made a middle finger emoji. I'm in the position to use that quite often
4206407,@angela_moccio Is it the exact same at the one coming out later today or is it a beta version?
6254826,The best Harlem Shake video I've seen was when they were under water.
2820863,"@KaraHunt35,@BB15.... giggle! I really hope it backfires on Helen since she was so sure of her deal with Miss Aaryn"
262971,Today is the best day to go offroadin..so much mud everywhereee
8223965,"\""Think of how much joy you'll find, when you leave the world behind, and bid your cares goodbye\"" \n                  - Peter Pan"
8093579,Easton with milffff \ud83d\ude1c\ud83d\udc95
415867,Tiger &amp; Lebron both providing clinics for these boys! Both born on December 30th
5436524,Who needs a boyfriend when I have a puppy \ud83d\ude0d
5620833,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 am I the only person walking into school listening to Christmas music ? \ud83c\udf85\ud83c\udf84\ud83c\udf81
2765018,"\""I don't know how to forward an email\"" - a fellow senior communications student."
7209224,\u201c@UberFacts: About 71 million pounds of chocolate are consumed on Easter every year.\u201d\nThat's about right \ud83c\udf6b\ud83c\udf6d
5305911,Never a dull moment with sammi&amp;sissy\ud83d\udc95
4967303,This game is to intense
9934532,people would never understand how something so little can make my day 100% better \ud83d\ude0a\ud83d\ude0a\ud83d\ude0a
5461575,The problem with Gloucester is it such a small county that everyone's in everyone's business
7932135,@shanynmac will you be in Fishers July 2nd-5th?
10933086,First time out on the roads and it was to tan and get subway for me and Alyssa #priorities \ud83d\ude02\ud83d\udc4c
1806762,Anyone feeling a trip to boston this summer?
4670648,"@actejim so we help the rebels, so both sides can continue the killings! And 100000 more die from bullets, explosions, and starvation."
4965069,I wish I could just tweet this whole song cause all of it is so relevant
41675,Flying back to DC in the morning! Not looking forward to the inevitably long SuperShuttle ride to work.
11134386,@48hours too bad you didn't cover the wm3 in Arkansas
83469,@SoLegitSyd @BDAHT no we did not...but even with playing like ish we still will be ranked in the NCAA..will #UNC make it to the sweet 16?
2518703,"I'm antsy to leave. Tomorrow will be a full day of little last minute things, but I'm mostly ready to go."
8206229,sometimes i wonder if people realize that they're actually massive dicks
9089236,I really love when someone flashes their high beams warning you there's a cop.. don't think there can be a nicer gesture than that #thanks
9290720,"Dad decided to enter a corn eating contest with himself, currently on his 10th ear. I'm getting sick just looking at him."
11360620,"I had a dream last night that I won 3,000 dollars at the casino! Guess what today is.. Ladies night.. \ud83d\udc4f\ud83d\ude4c\ud83d\udc4a\ud83d\udcb8 #jackpot"
7883120,"America, if you think putting \""under God\"" in the Pledge of Allegiance will make God put \""U-S-A! U-S-A!\"" in the Lord's Prayer, you're nuts."
11279947,Dairy Queens 5 buck lunch will be the death of me
12035471,"Guys, his junk is so big that we can't find pants that fit him. Can I get an Amen?"
2859225,"This makes me cry... because Murray deserved it. :) He was the better player in this game. (Nole, I hug you!!!!)"
4987919,"@xokrisxo33 @Mariska @TheDannyPino oh, I'd love for @Mariska to tweet me! She's such a talented role model and an inspiration!"
5264453,"\u201c@iLLestChriz: I will NEVER fully believe that I'm the ONLY person someone \""talks\"" to \u270b\ud83d\udcaf\ud83d\udcaf\u201d \ud83d\ude14"
162796,715 may not be early for some people but for this guy it might as well me 515
1459656,This has got to be the most cheesiest movie I've ever seen.
5132050,Happy Thanksgiving to all my loved ones! Hope you all have a blessed day \ud83d\ude18
1757490,Who the fuck is this paging me at 6 o'clock in the morning?! Crack of dawn and..
11261942,Merry Christmas
10388582,"Be content with what you have, because God has said, \""Never will I leave you; never will I forsake you.\"" -Hebrews 13:5"
4545859,I want another tattoo but my next two checks are spent already... #poorpeopleprobs
5828265,@nic______ haha sure sure
7973279,Vineyard vines and Ralph Lauren \ud83d\ude4c
8049208,I love getting a tan and tweeting mean things and making fun of her. . .
2913941,BP!!!!!!! #Reds
4349688,"So long Notre Dame, see ya back at the Big House in a couple...Oh yeah, you don't want to play Michigan anymore \u270c"
4889093,@ray_cassie1 OMG COACH DEAN IS ENGAGED \ud83d\ude2d\ud83d\ude2d
6700427,Gonna skip my math class today so I can go to the gym sooner \ud83d\ude0f\ud83d\ude0f
10305846,Be showin up to the game tonight in a grandma car. Not my plan of exciting
5280069,damn... almost passed that exam
424965,Is Mike Shinoda in a pizza hut commercial
7324914,"People forget all about Bob Marleys music, and just focus on the fact that he smoked weed..."
4774644,@AnnaKnowlen hope you have an awesome day!  Love you sooooo much!
8000864,@thebradman71 Oh..I dream of that day!! 14 more years to go!
12050070,Mrs.Marmo gives the best hugs hands down and is probably the best person to talk to.. ever.. #randomtweet
2016434,I literally cantttttt with this nightshift\ud83d\ude30 #detox #pleaseGodhelpme
11606280,Two bikes just t-boned eachother in the middle of the street how dumb can you get
4005880,That awkward moment when you realize you are running out of things to watch on Netflix... \ud83d\ude33 #IHaveProblems #addicted
4998234,"@SwoozyC all things Xmas for me. Having kids is bringing it back a bit, but just for them not me"
9360259,I need to sleep the day away after last night. But instead I'm running the Warrior Dash \ud83d\ude20 @laura_adams98
6544531,Want to be a gorgeous house bunny #sexy #TapTHAT
35994,My class schedule is so easy a caveman could do it
4248596,Pitch Perfect cast needs to make a Christmas album \ud83d\udc4c\ud83c\udf85\ud83c\udf84
1750307,Just trying to answer this questions to the best of my abilities @adrAdrianna_Fever
1688398,@MitchHass216 i hate you... i was excited to get chipotle for a second
7080046,I could literally spend my life's savings on fossil jewelry #Shopaholic #RetailTherapy
6507749,@SuzzzieB late night snacks next year! #allthetime
2007594,"Does anyone actually believe \""How Do I Live\"" by Leann Rimes is Ushers favorite song? #nbcthevoice"
8982533,@srwiseboys #lucky
7165603,nothing exciting ever happens
9167209,I wish Crosby didn't break my iPad!
6001783,French onion soup smells better than it tastes.
5072688,Slippers or shoes?  Today's perspective from the Upper Room devotion. Log on to read the devotion and prayer.
9693310,I am craving bdubs again... I just ate there yesterday #fatty
6689301,"\""One of the best uses of your time is to increase your competence in your key result areas.\"" - Brian Tracy"
2580441,Can't wait to see the hangover pt 3
3124948,@roadmanwknr not if they keep scoring 2 runs or less a game
7150282,"Wow! Notes from the road, huh? Lol MT @Mario_Holmes_II It's always some idiot on the road making me spill my drink"
8090239,I have so many bug bites
5241697,@kylerwalker55 the bulls would be clutch if they just bench d-rose for the rest of the yr
9396061,"That was mean, definitely rude #WhatsWrongWithMe"
1594215,I'm freezing &amp; I'm under blankets \ue411  #tinygirlprobs #alwayscold
5744772,Holy drama.
1279491,I hope you hang yourself with your H&amp;M scarf
7774293,Three morning streak though.. You're on the right path
639226,"Next games after that: Power, Battle For Souls, Exodus, Trifecta, and one that hasn't been announced"
7294278,V any day I get to quote the movie Talladega Nights is a good day
4244627,@KelseyMarieOdle @zcate52 @SavageF22 so it's began \u26f3\ufe0f\ud83c\udf7b\ud83c\udf79\ud83c\udf78
4833518,2nd turnover ! Florida's defense is on..if only there offense could do something
6696701,Lovin the asshole chant
3591915,"I wish I was a sting ray, sting people I don't like and just swim around\ud83d\ude0b"
7269015,@_KeepItCute because I was only do there for a few
1881678,I want summer weather my house is freezing right now.
3003300,&amp; you're an idiot if you THINK for a second that I won't say something to you.
4300099,I would have taken the money chair! #MSQ
3424747,At the chiropractor \ud83d\ude01\ud83d\ude01\ud83d\ude01
6878360,@ClaudiaBrong knee deep is a great song
6395846,the stupid fuckin conversations that dalton and I have &gt;&gt;
859351,Hanging out with the 9 and younger crowd tonight. Nothing clears the head like some #freelance work.
3129583,@MattG124 who does jack fight with the most out of the band or crew?
8623407,Now I have to eat away the sadness of this terrible news. #mcdonalds
1965784,@Maritanicole and I was forced to sit next to the window
3970933,I miss my grandpa so much there isn't a way to explain.
6132805,WHY IS THERE ANOTHER TWO WEEKS UNTIL #NASHVILLE?! @megfbail @shearrsmith
9994245,Two episodes in and Nick Fury makes his first appearance on #AgentsofSHIELD. Excellent! #CoulsonLives
1285918,PDA in real life is tolerable as long as it's not inappropriate. PDA on Facebook is fuckin stupid. Just call/text em. Clearly for attention
72157,\u201c@jrubz65: my brother leaves in less than two weeks . Thats more than enough time to do something really reckless and retahded .\u201dI'm so down
10399630,Its October which means every girl has to have at least 5 costumes
235789,@TerreeLeDee did it suck 4 everybody?????? Will the roommate meet me n a couple of hours?????
3702249,Both of the spouses needs to shut their mouths. If they could get with the program the family could be alright. #RHONJ
418110,@AwesomeZakkary @mattdallasworld ONE OF THE BEST SHOWS EVER!
12260633,"\""@aliyaweer: xbox live is back, and so is the addiction \ud83d\ude01\"""
9041655,@BoSnerdley @southsalem We need to vote all these bastards out. America and the 50% that are clueless better wake the hell up
8370747,Why do people act like the cure to cancer is a little gem locked inside a person and we just need to find it? That's not how anything works.
1084558,Four hours to go....I can do it
3296352,60 more days until kick off! #HornetsWin
4616721,I swear the weirdest noises come from my dorm when I'm in it alone
235583,Rangers got their asses handed to them by the Pens.. can this day get ANY better? :)
1034958,@samigazafurry HAPPY BDAY.17. your life is about to change dramatically  be prepared. You though 16 was tough that's nothing compared to 17!
9843485,Hope work goes great today I really hope it don't be boring are slow it's a Friday and Carrie and Escape is out so...
5172575,This thanksgiving I am thankful for demarco murray.
7646670,How do you even do that?!?!?? #getout
1347486,That feeling when your literally an inch away from knocking down a beer display. Whoo. \ud83d\ude30
3784083,@AshlynSkidmore let's make Kim get us tbell tomorrow
12433953,I've never watched Duck Dynasty and I've never hated gays. It's clear that Phil doesn't either. Why is the LGBT so up in arms about this?
4215488,OMG there's a car alarm going off...
7275218,The fact that we were prolly 10 miles from indiana before i realized we were lost \ud83d\ude02\ud83d\ude33 @EricaTejkl #twitterlesstorrey
3141890,It's just one of those nights.. \ud83d\ude14
9265816,@msbrittanyshay prolly should go nursing home to match @Bcase88 's grandpa jeans
7034914,After work beer oh yeah
9208260,some SSC guys can be severe assholes.
11891881,"Snow day filled with sushi, fudge and the board game risk. #perfection"
10419452,I'm up\ud83d\udc83\ud83d\ude4c....well I been up for about an hour now\ud83d\ude15
11514925,The fact that I got a video of Bri pantsing Carly is priceless.
8395404,@x0_kw Tyler's better. Lets be real
310367,\u201c@alap16: I think Stingrays Orange is my favorite music this year !\u201d
743570,@AnimalPlanet amazed by the arctic #awholenotherworld #zoned
12116598,The DMV is really just full of clones and copies
12054698,Sheep must be very happy all they do is walk around and eat. Not mine though they get chased around by my dog
7466020,Hangin' at the country club for a charity auction.
2460359,I'd rather wake up in my bed the a new Bugatti #comfy
12377770,I have one awkward freckle on the middle of my neck.
10964951,"\""You are a cinema, I could watch you forever. Action, thriller, I could watch you forever\"""
5522413,@Zantgant are you referring to being attracted to folks outside the norm? That term is Pansexual.
4900727,I would like a heated steering wheel
7794467,Watching Episode1 Of Season 4 Of Pll \ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18\ud83d\ude18
1890138,"\""@linnyitssn: Every 3 hours 4 people die cuz of gunfire. GOP has no time to act because 8 months ago 4 people died in #Benghazi.\"""
11024088,Shout out to everyone who made Christmas wishes today \ud83d\udc95\ud83d\udc8b\u2728\ud83c\udf84
8799349,"Ready for another day of watching 60,000 hipsters out-hip each other whilst eating some really good food #hipsterproblems #OutsideLands"
8920734,"60% of the time, it works every time."
10561205,I think I hate DC more than I love Arlington. #toomanypeople
7921687,"The less I care, the happier I am."
4190755,Hahahaha well my date for the game is a 30 year old guy #leeeeegooo
3792208,@ash_lizabeth well that is a very confusing process.
7809459,@YogiFerrell11 want some mayonnaise? #WhiteSheDevil #greatmovie
1453450,there's literally a starbucks on every corner.
1094104,"\""Are you at a rave or a hockey game? I can't tell\"" bahahaha"
2314213,So much for Reds bullpen being a strength.   Geez
4785973,Me and Kev are are going to the Baja 500 \ud83c\udfc1\ud83c\udfc1\ud83c\udfc1\ud83c\udfc1\ud83c\udfc1\ud83c\udfc1
10178550,@cboyce1212 haha seriously!!! Our defense is struggling (we need Avery Sebastian back so bad haha) sooooo we just gotta wait it out!
3124257,"Just saw larson at stonestown.,.weird"
3176380,no one understands how boring work has been with this system update the past week.
9317714,So apparently it's my fault? Cool I will keep that in mind.
8713709,I'm pretty impressed that you can handle that shit as well as you do. \ud83d\udc4c\ud83d\udc4d admirable
2126193,I refuse to acknowledge the fact
4110596,@623Sis ur going all Bible Thumper on me barb lol fact is decline of morals coincides with libs removing God from society
9160856,I feel like I live alone..Alex is never home and Joe just plays Skyrim
2607118,Do people still smoke pot out of bongs? Is that a thing still?
11589013,"\""Who I am and what I am capable of doing has always managed to surprise me.\"""
3749302,Driving behind an Audi R8 and killing myself \ud83d\ude02 #iwant
4368598,terrified
7914450,There is no way Hernandez is getting out of this with his track record of shooting people in the face.
11580765,"Wanna be an RA?\n2014-2015 RA interest session in Reid Hall on Thursday, December 12th (TOMORROW NIGHT) from 7:00pm \u2013 8:00pm \u2764\ufe0f"
10492552,"I care about every single one of you, regardless of how you have treated or treat me."
3723334,Spending the night with my one and only @istarr_xo \ud83d\ude34\u2764
9723983,If I have any more strikes when I get back.....@H_Brennans @brittnee_hayes
10369078,Off to a secret meeting at Bullfeather's...you know just to derail any common sense attempts to govern.
11756467,"Great day today spent with the ones love, hope everyone had a blessed Christmas!"
11758571,You want to continue watching it but at the same time you want to throw a book at your TV whenever they're on it. #Thekilling #SarahLinden
4577948,\u201c@HayMeganKay: I feel like the only person not racing to get ios7 lol\u201d
4224675,In a group message and all my friends are watching Miss America.... And I'm watching X-Men... #whatcanisay
5029435,@ryan_leutz I'll be there tomorrow. Its 2 minutes away and I'm not doing anything so why not
7913451,@NiallOfficial awesome have a great time with your cousin and show loads of love
5054463,"Proverbs 19:21 ESV\n\""Many are the plans in the mind of a man, but it is the purpose of the Lord that will stand.\"""
3795033,@Koewler5 that beer better taste darn good! #Jealous
7766890,Im jealous of all the tech kids that have their last day tomorrow
8464182,Berries and berries and berries and berries. #thesmoothielife
10508233,"Skipped #bpd last week. Trying to use #wisemind daily, though"
9626667,Biz as Usual for a bad organization--\nMT: @AdamSchefter: #Raiders have signed longsnapper to 3-yr contract extension. (+ SeaBass extension!)
6218569,@lilasa23 I'm sorry did anything bad happen or are you just getting cabin fever from being sick
11950339,Blessed by a surprise in the mail and a sweet Facebook message.
3747652,Laying down on Catherine's couch watching Spongebob with her little sister waiting for her to get back from tutoring! #yayy @cantu_catherine
801696,"Is it bad that \""Stuck in the Middle with You\"" is playing and all I can think of is that scene in Reservoir Dogs?"
8427624,@Shoey140 :((( I miss you shoving me into the window of the house cause we got locked out
10977819,I'm just laying in bed not ready like people aren't going to be here any minute..
11370131,This is the first I've seen my mom since Sunday! #craziness
2690175,"My TV volume is always set at \""fuck the neighbors.\"""
1952043,We R Proud To Say That The UK Was A Latin Speaking Country As Well Was Germany.Thing In Common Interest In Europe.
7138046,Thanks @brinnybabyy for the card and ice cream cake!! You're the best \ud83d\ude18\ud83d\ude18\ud83d\ude18
10866951,"\""Merry Christmas ya filthy animal.... And a happy new year.\"""
12507256,Ed sheeran in his lego house video seriously looks like Ronald Weasley hahahha #butreally
4165094,"\u201c@DaniTaylan: Dedicated Only One to Richard, still to this day that has to be one of my favorite songs by YC. \ud83d\udc95\u201d it was cuyte \u2764"
5769345,I plan on seeing Hunger Games: Catching Fire this weekend. Even if that means by myself.
9170361,Fun things to do in hotels while drunk (must have a sleep number bed) : change from 100-5 and back quickly. Repeat as necessary
6772501,"The bathrooms in Great Lakes Crossing actually make me want to kill myself, they are so disgusting."
8696358,My cousin is so obsessed with the Trojan condom commercial! #omg #facepalm
7984958,Tried to get out of a normal cab today without paying #blameuber
5206306,I am naked in my moms back seat &amp; have no shame bc Vanessa didn't turn the air on in the studio bc apparently it's good to sweat a lot
5538554,Who leaves someone stranded with two kids at a gas station? I'm fucking pissed!!!!!!!
7821173,Packing up and heading to the burbs for the day. Woodbridge here we come. P.S. does anyone know where Woodbridge is?
12053946,Or maybe Wilson just has straps tonight
2585599,One of the hardest things in life is deciding whether to give up it just try harder.
1352292,#encorekellie
3759103,"@kuhndog__ lol, sure thannngg. \u2764\ud83d\ude18 If only I could retweet you.... \ud83d\ude14"
4143422,Love is in the layers
6901861,Everyone come to the stu to relax and sit back to hear some music from high street harmony and pitch perfect!!! #LUperfect13
4802755,@BruDog Hey! Gratz! Very hard to get...can't teel you how many packs I opened just to get one.
7910748,I might just stay home and continue to watch The Proud Family
231367,"lol 30 seconds into the clip and i'm cracking up. \""it has pleats!\"""
8049960,"Thanks for the pass Micah, you're a gentleman and scholar:)"
2092050,I rly wish I had a sauna or a pool right now ... Or both both would be nice
888698,Can't believe my life has came to me watching mens league basketball at the Murphy once a week #SoTerrible
10051912,"I told myself I'd study, it's 10:36 and I have not opened the SAT book"
2861138,@Alpha_N_Omega92 you did that already.... Not funny anymore... Way to be original though #sarcasm
190716,@HeyItsJas_ @shaniespring Pshhh!! It's about to fall off into the ocean anyway and it's in so much debt they might as well help it along\ud83d\ude1c
2798959,What did the beach say as the tide came in?\nLong time no sea\ud83c\udf0a\n\ud83d\ude02\ud83d\ude02\ud83d\ude02
294973,The number of people I talk to is dwindling down to the people I actually wanna talk to. #Iaintevenmad
3258957,Women have a WIDE range of differing values.... #learning
9229987,"In the middle of Soho, Just passed by a woman who was wearing almost nothing and dressed like a prostitute."
9761229,Honestly worst day I think I've ever had.
4077001,"@bby_lexa @ yep I know, research new world order and watch how that blows mind. I can't talk bout this all day. The government is so fake"
618399,Appalled doesn't even begin to describe it
292155,Noooo conditioning is soon \ud83d\ude14\ud83d\ude14
11837189,"I'm gonna pass my test tomorrow all thanks to Bryan, Lilly, Sophia, Sabrina, and like half the team \ud83c\udd70\u2795\u2795\ud83d\udcaf"
7658819,"@kindramarie16 wow, that escalated quickly... Btw I'm not wearing pants either"
5558414,Turn up at Crisp Academy's prayer breakfast in the morning. #turntforjesus
9084440,A naked woman with her legs spread and a pot leaf covering her vagina.. Your grand kids must be so proud to have you showing that.
3486973,@Gus_Phillips Who was it again that you shared a bed with in NY.....? \ud83d\ude2c
2034119,Live from your power not your brokenness #FixMyLife
4044543,The coffee at work is seriously to die for \u2615\ufe0f
9026393,Weeden looking sharp
7308366,@Lohi_O Thanks boo...you are the best!
5724555,Also both my football teams lost this week ): #sadmichiganfan #sadpackersfan
9009910,@mlabernik @holmer0714 don't worry we'll go get our 3rd in a row of those.
11034328,With college football! \u2764\ufe0f\ud83c\udfc8
1753027,Adam is getting his ass handed to him tonight #TheVoice
3787191,"Don't be jealous of these other boys, they're actually caring"
7857321,Aren't most games when Jay is in the booth blow out loses??
8849398,Working at the fitness center this year is only gonna get me more motivated to get back in shape. Man i miss rowing&amp;swimming
4178742,@LGUS almost burned down our home. Their faulty microwave malfunctioned &amp; they're refusing to pay for it. #horriblecustomerservice #onhold
9923843,Cool so my dog is probably dead. Neat.
9603296,Ryan did great tonight!!!!!
5782401,When I lay in my bed after a long day I cuddle in my blankets like a little burrito and its probably one of the best feelings in the world
6920596,@michelobe10 Let's go tomorrow night and drink while we're doing it!
7404045,Going to city this week sending out my resumes fuckkkkk this island can't work Onn ittt
4035359,Reading up on the good old C182. Looks like I'll be the new weekend jump pilot at Sky Dive Deep Creek.
2458800,"This I'm just going to do this study guide, go to bed, then wake up in the middle of the night to study."
1760387,@karapaulsen it's a #hardknocklife
9400817,I apologize in advance to everyone who has to see my yearbook picture this year
4055032,Life is so much easier for guys. Hands down \u270b
7420035,Soooo found out this morning I could actually walk on Saturday... That's cool.  Thanks for being so unorganized CMU.
11716374,Need something to do all day so I don't completely lose my mind tonight
11423569,It's official! Bowling Green is #MACChamps
10137771,Loving this Stanford team so much today.
5794184,"Nathan hands me a drink and says \""here you alcoholic. Chug it.\"""
10786628,Miley on Ellen. #notmad #teammiley
4557098,Happy Hump Day! @ Castle Opdyke.
9815398,What an EPIC collapse for the #DetroitTigers pitching staff tonight... Good game #RedSox See you in Detroit
11779206,@Genna_Noel 9 people... There's clearly 10! Lol!!
1407024,@MahoneBieber_ my flight leave at 8:55 but imma be boarding in like 15 minutes
2106765,@spaul6414 @TeacherCast @Sirotiak02 @dandanscience @SOMSlibrary @danielle6849 @DrSpikeCook @danielscib thanks! Have a great weekend
12206538,"Lady working at Meijer approaches me and says \""you gonna pay for those grapes?\"" I shovel them all into my mouth and say \""what grapes?\"""
458140,figured out how many hours per week i'll have to work out to get toned for test shoots
10400563,Tonight also makes me really hope Connor Mitch makes a strong push over the upcoming offseason. #Gamecocks
4196428,Mini golf and lunch with the fam!
5670792,Words could not express the pain my nipples are feeling right now
519788,@Mukaj215 @desiireeexo Pete she's blown out
6094006,I was tying my shoes for about 13 minutes though
7070038,If you'd do right
11858494,@DeltaAssist @Delta Won't be flying Delta anymore period. Bad customers service and don't care if you leave them to fly someone else.
8379152,LEVEL 65 IS KILLING ME!!! #candycrush #problems 3 weeks still no success
5293065,@Aspiring_ESQ @Pause_WhoAreYou Christmas break
10416468,Great conversation.
981961,"I'm about to play #TheWalkingDeadGame episodes 1-5... I feel like I'm about to make a series of bad choices, all leading to my death lol"
1362,"@Carl_3096 Ive been to a couple of diff. border towns. It's sad to see, but so insightful. Makes you extremely thankful for Ameri Democracy."
9550807,I guess looking disgustingly ugly for two years with braces worked in my favor because the dentist said I have perfect teeth\ud83d\udc4c
3345651,I'm pathetically in love with you.
3441005,\u201c@TopN0tch_Bitch: I can't wait to be married and have a house and family of my own and make my man the absolute happiest. \u263a\ud83d\udc95\u201d \ud83c\udfe1\ud83d\udc6a\ud83d\udc4c
5876536,Still have to finish my physics homework and it's due in less than an hour..
3590678,I don't see why people haven't came to the conclusion that this is America....this is what we've been about
4303566,"we found love, under neooon lights"
1567711,Such a close game!
5329286,"So I pointed the three different donuts I wanted, and ended up with just two of the same. What the fuck man"
802677,That moment when my phone shuts down for 20 minutes and refuses to work.\n\nJust in case you guys were texting me and stuff. Ya know.
618918,@AlenaADavis @kailaodren remember when jr creepily stared at kaila through the crack of her door DYING
1029322,the hatred I have for your grows everytime I see anything that has to do with you. \ud83d\ude37\ud83d\ude37\ud83d\ude37
6441767,"Purging a filing-cabinet full of printed critical-essays from grad-school, throwing away those that I know I will never read nor cite again."
10866391,Meghan has a large bottom for a snow bunny
11634204,@amycarp9 is a stalker #truth #sislove
11953964,packing for #holidayblockleave! It's about time \ud83d\ude04 #cominghome
16209,Free Entry Beer Pong Tonight make sure you come out 5$ a game!!!!! LETS GOOOO!!!!!
4986407,Any body wanna hangout
2179495,Connor please never miss physics again
7956767,Objects in a mirror is one of my favorite mac miller tracks so far
4055964,Goddamn Washburn labs and it's squeaky antenna.
12270273,I may end up killing someone today. Going on 45 minutes of sleep. \ud83d\ude21\ud83d\ude21
12071632,I come home tomorrow so that's pretty exciting
2417001,@Markal1993 an event that happens I'm old Colorado city!
10267750,TMI &amp; pretzel dogs with cheese
